tweetCount,latitude,longitude,text
1430,53.1423672,-7.692053599999999,"RT @caulmick: #SiteServ Commission  pays one lawyer ?346,000 with ?55k on PR

Cost &amp; duration of inquiry was criticised by Mike Aynsley, fo?"
1062,51.896891700000005,-8.486315699999999,"RT @LawlorCaitriona: Accenture ?17.2 million, Ernst &amp; Young ?4.6 million,  A&amp;L Goodbody ?2.9 million, KPMG ?2.2 million, McCann Fitzgerald?"
903,52.649290799999996,-8.403463499999999,"RT @caulmick: Are there any consequences for the connected..

Forget #Siteserv Inquiry? Yet, blow millions arresting and charging people fr?"
741,53.1423672,-7.692053599999999,RT @LegalEagleStar: He did indeed Breda. Abolition of #IrishWater was an election promise of @fiannafailparty and Michael. https://t.co/hE2?
725,53.34980529999999,-6.2603097000000005,RT @babsbear: #Irishwater rammed down r neck by #RTÉ with t fraud they fix leaks . They USE county council staff who do t work. It?s a bloo?
571,54.9966124,-7.308574799999999,"RT @caulmick: Not content with #Irishwater fiasco..

Around 3m people who have been issued Personal Services Cards #Psc could be entitled t?"
444,53.34980529999999,-6.2603097000000005,"RT @caulmick: Good article by @LaoiseNeylon

Lunacy at the heart of the #Irishwater metering programme - rather than fix the leaks in the m?"
361,53.34980529999999,-6.2603097000000005,"RT @caulmick: #Irishwater can't tell @LatedebateRTE how many people are without water in Dublin tonight, but they can tell us that people a?"
227,53.34980529999999,-6.2603097000000005,"Good article by @LaoiseNeylon

Lunacy at the heart of the #Irishwater metering programme - rather than fix the leak? https://t.co/jG5PIPgQSc"
180,53.199717099999994,-8.131427,"@IWCare In hindsight:That testing doesn?t seem to have been very effective , #Irishwater #WaterCrisis , time to hav? https://t.co/J75icw2h7c"
160,53.34980529999999,-6.2603097000000005,RT @caulmick: A 30 minute advertorial on @PatKennyNT for #Irishwater - who needs a Spin Unit https://t.co/0E1whFcYcb
154,38.8156551,-80.461754,"@MOReganIT @EDDIEBARRETT @MichealMartinTD hasn?t the balls to pull the plug
1 he hasn?t a team to deal with #Brexit? https://t.co/E0QZqL7yWe"
102,53.1423672,-7.692053599999999,@orla1112 Emma Kennedy on Today with Sean O'Rourke from Wednesday 7 March on RTÉ Radio 1http://rte.ie/r.html?rii=9_? https://t.co/NA6j8lNf4p
97,52.9899429,-9.218327,"RT @LawlorCaitriona: Ha Ha.  No-one can fix leaking pipes, but #IrishWater was, is, and always has been excellent at wasting 40% of our tre?"
76,53.321256700000006,-6.3537336999999985,RT @caulmick: An internal review by Gardai into policing at anti #Irishwater protest in Jobstown finds that it lacked strategic direction b?
66,53.158934200000004,-6.9095683,"RT @geraghty040: <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084> The absolute irony of #Tipperary having kerosene in the water, given ould Alan kelly was the champion of #irishwater?"
64,53.1423672,-7.692053599999999,RT @caulmick: #Irishwater's own figures show the people of Ireland's consumption of water is the lowest in the OECD. You can have an opinio?
59,53.277910600000006,-6.105843599999999,"RT @LegalEagleStar: Getting our daily dose of #IrishWater courtesy of @PatKennyNT 
Pat?s undying dedication to Ireland?s Most Hated Utility?"
57,52.15446069999999,-9.5668633,"RT @UnitedEire2016: @MOReganIT @EDDIEBARRETT @MichealMartinTD hasn?t the balls to pull the plug
1 he hasn?t a team to deal with #Brexit 
2?"
51,53.1423672,-7.692053599999999,Today we celebrated the official opening of the new Oughterard Wastewater Treatment Plant with Minister of State fo? https://t.co/ogXylVQv6F
48,53.34980529999999,-6.2603097000000005,#Irishwater @Finegael @fiannafailparty #Aras https://t.co/AO2bFtWH52
45,53.34980529999999,-6.2603097000000005,"RT @IrelandUncut: @HibernianView @declanganley That's what pressure is! NOT paying. Same with #Irishwater taxes.

#NoFeeRTE"
35,52.336915999999995,-6.4633381,RT @IrishWater: #IWWexford: @wexfordcoco &amp; #IrishWater staff had to battle snow &amp; woodland in order to reach damaged infrastructure last we?
32,53.1423672,-7.692053599999999,#DYK you can check supply disruptions in your area by searching the hashtag relevant to your county? #IrishWater https://t.co/UzyimSDRwk
30,53.34980529999999,-6.2603097000000005,He did indeed Breda. Abolition of #IrishWater was an election promise of @fiannafailparty and Michael. https://t.co/hE20Lw8gtP
26,53.3388541,-6.217938699999999,"RT @DazzerFury: I remember that summer in Dublin . 
#IrishWater https://t.co/OvtwU7RLyQ"
26,53.1423672,-7.692053599999999,They will tell any lie Falsify any fact in their efforts to Justify the existence of #IrishWater The most dysfuncti? https://t.co/1DIlocTSgh
23,53.27066800000001,-9.0567905,RT @IrishWater: Today we celebrated the official opening of the new Oughterard Wastewater Treatment Plant with Minister of State for Natura?
22,53.34980529999999,-6.2603097000000005,RT @IrishWater: This is an example of a typical burst we are working to repair in #Dublin &amp; around the county. If you spot a leak on public?
20,53.1423672,-7.692053599999999,RT @IrishWater: Following consultation from @HSELive and in collaboration with @wexfordcoco we are pleased to confirm that the Boil Water N?
19,53.1423672,-7.692053599999999,RT @IrishWater: We are asking the public to continue to conserve water to allow reservoir levels to replenish. See some helpful tips below?
18,53.34980529999999,-6.2603097000000005,@Jack_Leahy The #savethe8thrally would have told you that #Irishwater protests were under 20k Apparently it?s beyon? https://t.co/ZXsF9mq1Ba
18,52.9808207,-6.044588999999998,RT @horseymatilda: #NeverForget #Right2Water #Not1Pipe #IrishWater spent ?85 million of our money on Consultancy fees.
18,53.2808205,-6.382555399999998,"RT @IrishWater: We're working in conjunction with @sdublincoco fixing major bursts today in Perrystown, Limekiln and other locations. Crews?"
17,53.1423672,-7.692053599999999,Great piece by @harrymcgee about the vulnerability of our water - Dublin on a knife-edge when it comes to water sup? https://t.co/G0wv09m1zT
16,53.60554800000001,-6.656416900000001,"RT @IWCare: #IWMeath: A burst water main may disrupt supply to Ratoath, Fairyhouse Road, Kilbride, Curragha, Kilbrew &amp; surrounds until 6pm?"
16,53.27066800000001,-9.0567905,"RT @Revolution_IRL: #IrishWater looking very corporate still, part of the Ervia group? 

The FG-FF-LABOUR plan is to sell it to OBribe for?"
15,53.1423672,-7.692053599999999,"RT @IWCare: #IWCork: A burst water main may affect supply to Harbour View, Cobh and surrounds until 3pm today. Please retweet. #IrishWater"
12,53.34980529999999,-6.2603097000000005,RT @IrishWater: Low-impact pressure reductions continue on a number of areas in Dún Laoghaire-Rathdown. See https://t.co/uqFUHLuWPC for det?
12,53.8550014,-9.2879257,Colm Boyd sharing his knowledge of the new Oughterard Waste Water Treatment Plant with the pupils of Saint Annin?s? https://t.co/fi7B0hGzzn
10,53.34980529999999,-6.2603097000000005,"RT @Revolution_IRL: If only #Irishwater did not spend ?1billion on a billing system. 

#TonightTV3"
9,51.896891700000005,-8.486315699999999,RT @IrishWater: Low-impact pressure reductions in place in a number of areas in Dublin. See https://t.co/OVlcjhTdpU for details. @sdublinco?
8,52.5257826,-8.934267799999997,RT @TrichDee: Get rid of #IrishWater They are taking to much of our taxes! imho https://t.co/zC1suV5b7z
7,53.1423672,-7.692053599999999,"I remember that summer in Dublin . 
#IrishWater https://t.co/OvtwU7RLyQ"
6,53.2810955,-6.4345836,"RT @caulmick: #TBT 

One year on...

The water committee agreed, unanimously without a vote, that it is in favour of placing #IrishWater in?"
6,54.015260399999995,-9.4289369,"RT @IWCare: #IWMayo: Pump repair works may affect supply to Ballinahaglish, Knockmore &amp; surrounds until 3pm today. Please retweet. #IrishWa?"
5,52.83650720000001,-6.934135899999999,"RT @jimfitzpatrick: @LawlorCaitriona The same old crony cartels looked after as usual. Then the thugs who run #IrishWater are well wined, d?"
5,51.896891700000005,-8.486315699999999,RT @LawlorCaitriona: IBM ?44.8 million -  consulting arm of the technology giant won three separate #IrishWater contracts by tender. #Quango
4,54.015260399999995,-9.4289369,"RT @IWCare: #IWMayo: A burst water main may affect supply to Magherafadda, Ballyhean &amp; surrounds until 2:30pm today. Please retweet. #Irish?"
4,53.26006039999999,-6.1229385999999995,"RT @MayoDotIE: For those affected by supply disruptions in Mayo, please see https://t.co/v1Z9n66jTF. Please retweet. #IrishWater https://t.?"
